iter	Passed	Remaining
0	1	182
1	3	184
2	5	176
3	6	154
4	8	154
5	9	148
6	11	151
7	13	150
8	14	147
9	16	147
10	18	149
11	20	148
12	21	146
13	23	146
14	25	144
15	27	143
16	29	143
17	31	142
18	32	139
19	34	137
20	36	136
21	37	134
22	39	130
23	40	129
24	42	127
25	44	125
26	45	123
27	47	121
28	49	120
29	50	118
30	52	116
31	54	115
32	56	113
33	57	110
34	58	109
35	60	108
36	62	106
37	64	104
38	65	102
39	68	102
40	69	99
41	70	96
42	71	95
43	73	93
44	75	92
45	76	90
46	78	89
47	80	87
48	82	85
49	83	83
50	85	82
51	87	80
52	88	78
53	89	76
54	90	74
55	92	72
56	93	70
57	94	68
58	96	66
59	97	65
60	99	63
61	100	61
62	101	59
63	103	58
64	104	56
65	105	54
66	106	52
67	108	50
68	109	49
69	110	47
70	111	45
71	113	44
72	114	42
73	116	40
74	117	39
75	118	37
76	120	35
77	121	34
78	123	32
79	124	31
80	126	29
81	127	28
82	129	26
83	130	24
84	132	23
85	133	21
86	134	20
87	136	18
88	137	16
89	139	15
90	140	13
91	142	12
92	143	10
93	145	9
94	147	7
95	148	6
96	149	4
97	151	3
98	152	1
99	153	0
